Week,SKU,Region,Demand,Global Status,DNA Collection ,DNA Category ,DNA Sub Category ,DNA Metal ,DNA Material ,DNA Stones ,DNA Color ,DNA Size ,Date Item Introduced,Date Item Discontinue,Design Variation,Campaign Id,Theme Id,Theme Description,Year,Week_Number,Seasonality,Evolving State,Buckets
2020-W43,9557,0,101.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,43,0,1,2
2020-W44,9557,0,96.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,44,0,1,2
2020-W45,9557,0,99.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,45,0,1,2
2020-W46,9557,0,69.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,46,2,1,2
2020-W47,9557,0,144.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,47,2,1,2
2020-W48,9557,0,441.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,48,2,1,2
2020-W49,9557,0,213.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,49,2,1,2
2020-W5,9557,0,131.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,5,1,1,2
2020-W50,9557,0,224.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,50,2,1,2
2020-W51,9557,0,208.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,51,2,1,2
2020-W52,9557,0,106.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,52,2,1,2
2020-W6,9557,0,178.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,6,1,1,2
2020-W7,9557,0,173.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,7,1,1,2
2020-W8,9557,0,101.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,8,0,1,2
2020-W9,9557,0,86.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,9,0,1,2
2021-W1,9557,0,48.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,1,1,1,2
2021-W10,9557,0,110.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,10,0,1,2
2021-W11,9557,0,36.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,11,0,1,2
2021-W12,9557,0,40.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,12,0,1,2
2021-W13,9557,0,63.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,13,0,1,2
2021-W14,9557,0,52.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,14,0,1,2
2021-W15,9557,0,89.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,15,0,1,2
2021-W16,9557,0,87.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,16,0,1,2
2021-W17,9557,0,137.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,17,1,1,2
2021-W18,9557,0,150.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,18,1,1,2
2021-W19,9557,0,96.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,19,1,1,2
2021-W2,9557,0,49.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,2,0,1,2
2021-W20,9557,0,110.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2021,20,1,1,2
